0 0.000000
1 0.062759
2 0.125270
3 0.187287
4 0.248566
5 0.308866
6 0.367947
7 0.425578
8 0.481530
9 0.535585
10 0.587528
11 0.637154
12 0.684268
13 0.728685
14 0.770229
15 0.808736
16 0.844055
17 0.876046
18 0.904583
19 0.929554
20 0.950859
21 0.968417
22 0.982156
23 0.992023
24 0.997978
25 1.000000
26 0.998078
27 0.992222
28 0.982454
29 0.968812
30 0.951351
31 0.930140
32 0.905261
33 0.876813
34 0.844908
35 0.809672
36 0.771244
37 0.729775
38 0.685429
39 0.638381
40 0.588816
41 0.536929
42 0.482926
43 0.427018
44 0.369427
45 0.310380
46 0.250109
47 0.188852
48 0.126850
49 0.064348
50 0.001593
51 -0.061169
52 -0.123690
53 -0.185723
54 -0.247023
55 -0.307350
56 -0.366465
57 -0.424136
58 -0.480134
59 -0.534239
60 -0.586238
61 -0.635926
62 -0.683106
63 -0.727593
64 -0.769212
65 -0.807798
66 -0.843200
67 -0.875277
68 -0.903903
69 -0.928965
70 -0.950365
71 -0.968018
72 -0.981855
73 -0.991821
74 -0.997876
75 -0.999997
76 -0.998176
77 -0.992419
78 -0.982750
79 -0.969206
80 -0.951841
81 -0.930723
82 -0.905936
83 -0.877577
84 -0.845759
85 -0.810605
86 -0.772256
87 -0.730863
88 -0.686588
89 -0.639606
90 -0.590102
91 -0.538272
92 -0.484320
93 -0.428458
94 -0.370907
95 -0.311894
96 -0.251651
97 -0.190415
98 -0.128430
99 -0.065937
